date_only,member_count
2024-06-17,10
2024-06-18,5
2024-06-19,8
2024-06-20,2
2024-06-21,5
2024-06-22,3
2024-06-23,4
2024-06-24,4
2024-06-25,5
2024-06-26,3
2024-06-27,3
2024-06-28,2
2024-06-29,7
2024-06-30,5
2024-07-16,1
2024-07-19,2
2024-07-20,7
2024-07-21,5
2024-07-22,6
2024-07-23,3
2024-07-24,6
2024-07-25,3
2024-07-26,8
2024-07-27,5
2024-07-28,8
2024-07-29,4
2024-07-31,4
2024-08-01,2
2024-08-02,3
2024-08-03,5
2024-08-04,2
2024-08-05,1
2024-08-06,5
2024-08-07,3
2024-08-08,4
2024-08-09,2
2024-08-10,4
2024-08-11,5
2024-08-12,4
